Bos-MacBook-Pro:newCRF bozheng$ crf_learn -f 3 -p 4 templatetest.txt training2.data resultmodel
CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data:
Done!9.96 s

Number of sentences: 1
Number of features:  20694
Number of thread(s): 4
Freq:                3
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=221 terr=0.00315 serr=1.00000 act=20694 obj=209.60471 diff=0.00172
iter=222 terr=0.00315 serr=1.00000 act=20694 obj=208.62360 diff=0.00468
iter=223 terr=0.00320 serr=1.00000 act=20694 obj=207.68714 diff=0.00449
iter=224 terr=0.00320 serr=1.00000 act=20694 obj=206.33626 diff=0.00650
iter=225 terr=0.00320 serr=1.00000 act=20694 obj=205.84344 diff=0.00239
iter=226 terr=0.00618 serr=1.00000 act=20694 obj=206.19507 diff=0.00171
iter=227 terr=0.00320 serr=1.00000 act=20694 obj=205.40736 diff=0.00382
iter=228 terr=0.00320 serr=1.00000 act=20694 obj=205.20148 diff=0.00100
iter=229 terr=0.00320 serr=1.00000 act=20694 obj=205.06492 diff=0.00067
iter=230 terr=0.00323 serr=1.00000 act=20694 obj=204.05951 diff=0.00490
iter=231 terr=0.00323 serr=1.00000 act=20694 obj=202.60377 diff=0.00713
iter=232 terr=0.00317 serr=1.00000 act=20694 obj=200.94878 diff=0.00817
iter=233 terr=0.00275 serr=1.00000 act=20694 obj=200.00920 diff=0.00468
iter=234 terr=0.00277 serr=1.00000 act=20694 obj=198.76473 diff=0.00622
iter=235 terr=0.00277 serr=1.00000 act=20694 obj=197.64313 diff=0.00564
iter=236 terr=0.00289 serr=1.00000 act=20694 obj=196.45979 diff=0.00599
iter=237 terr=0.00377 serr=1.00000 act=20694 obj=195.14268 diff=0.00670
iter=238 terr=0.00266 serr=1.00000 act=20694 obj=193.83010 diff=0.00673
iter=239 terr=0.00266 serr=1.00000 act=20694 obj=193.31005 diff=0.00268
iter=240 terr=0.00234 serr=1.00000 act=20694 obj=192.85598 diff=0.00235
iter=241 terr=0.00686 serr=1.00000 act=20694 obj=193.85430 diff=0.00518
iter=242 terr=0.00297 serr=1.00000 act=20694 obj=191.82635 diff=0.01046
iter=243 terr=0.00323 serr=1.00000 act=20694 obj=186.30603 diff=0.02878
iter=244 terr=0.00312 serr=1.00000 act=20694 obj=180.65256 diff=0.03035
iter=245 terr=0.00772 serr=1.00000 act=20694 obj=181.27223 diff=0.00343
iter=246 terr=0.00326 serr=1.00000 act=20694 obj=178.23941 diff=0.01673
iter=247 terr=0.00217 serr=1.00000 act=20694 obj=175.49276 diff=0.01541
iter=248 terr=0.00329 serr=1.00000 act=20694 obj=175.04776 diff=0.00254
iter=249 terr=0.00326 serr=1.00000 act=20694 obj=173.97113 diff=0.00615
